ID,BattingTeam,Innings,TotalScore,WicketsLost,WinProbabilityScore
548374,Delhi Daredevils,2,145,4,67.0
501215,Kochi Tuskers Kerala,2,135,3,66.0
501238,Delhi Daredevils,1,140,6,54.0
598010,Delhi Daredevils,1,114,8,28.4
598010,Sunrisers Hyderabad,2,115,7,34.0
501267,Mumbai Indians,2,178,5,81.8
548337,Pune Warriors,1,146,2,77.6
598025,Kings XI Punjab,2,186,3,96.6
501246,Mumbai Indians,1,178,4,86.8
598020,Delhi Daredevils,2,83,10,-0.2
598034,Kolkata Knight Riders,2,186,4,91.6
1082621,Gujarat Lions,2,135,3,66.0
1178422,Kolkata Knight Riders,1,232,2,129.2
1136611,Royal Challengers Bangalore,1,218,6,100.8
1136571,Rajasthan Royals,1,217,4,110.2
1136618,Rajasthan Royals,2,144,4,66.4
1175366,Royal Challengers Bangalore,2,113,10,17.8
548325,Mumbai Indians,1,92,10,5.2
501226,Chennai Super Kings,1,142,6,55.2
598004,Royal Challengers Bangalore,1,130,8,38.0
501206,Chennai Super Kings,1,188,4,92.8
598067,Pune Warriors,1,172,5,78.2
419150,Mumbai Indians,1,174,5,79.4
548356,Royal Challengers Bangalore,2,185,5,86.0
501239,Deccan Chargers,2,149,6,59.4
419128,Delhi Daredevils,1,183,4,89.8
548317,Rajasthan Royals,2,170,10,52.0
598045,Kings XI Punjab,2,176,3,90.6
501229,Kochi Tuskers Kerala,2,74,10,-5.6
419153,Chennai Super Kings,2,143,1,80.8
419161,Mumbai Indians,1,133,8,39.8
419161,Kolkata Knight Riders,2,135,1,76.0
501240,Rajasthan Royals,1,147,6,58.2
419164,Royal Challengers Bangalore,2,86,1,46.6
501249,Chennai Super Kings,1,196,3,102.6
501215,Chennai Super Kings,1,131,4,58.6
598059,Kings XI Punjab,2,121,5,47.6
501258,Rajasthan Royals,1,97,10,8.2
501258,Kochi Tuskers Kerala,2,98,2,48.8
548330,Pune Warriors,2,151,7,55.6
419131,Delhi Daredevils,1,177,4,86.2
501237,Kings XI Punjab,2,136,8,41.6
548307,Delhi Daredevils,2,100,2,50.0
501211,Royal Challengers Bangalore,2,162,7,62.2
598072,Rajasthan Royals,1,165,6,69.0
419146,Kings XI Punjab,2,158,4,74.8
501198,Kolkata Knight Riders,2,151,7,55.6
548337,Delhi Daredevils,2,148,2,78.8
597999,Royal Challengers Bangalore,1,156,5,68.6
501228,Pune Warriors,1,141,6,54.6
1136604,Kings XI Punjab,2,214,8,88.4
1178393,Chennai Super Kings,1,160,3,81.0
1082596,Sunrisers Hyderabad,2,140,1,79.0
598031,Kings XI Punjab,1,149,6,59.4
419123,Chennai Super Kings,2,135,7,46.0
598012,Chennai Super Kings,2,166,6,69.6
548319,Kings XI Punjab,2,116,3,54.6
501227,Delhi Daredevils,1,160,6,66.0
548310,Royal Challengers Bangalore,1,157,8,54.2
501204,Delhi Daredevils,1,151,6,60.6
598017,Delhi Daredevils,2,11,2,-3.4
501268,Chennai Super Kings,2,177,4,86.2
501220,Kings XI Punjab,1,195,7,82.0
501220,Rajasthan Royals,2,147,7,53.2
548361,Chennai Super Kings,2,127,6,46.2
501203,Kolkata Knight Riders,1,163,4,77.8
598073,Mumbai Indians,1,148,9,43.8
501207,Kochi Tuskers Kerala,1,148,8,48.8
419129,Rajasthan Royals,1,177,8,66.2
598005,Rajasthan Royals,1,144,6,56.4
501236,Chennai Super Kings,1,165,5,74.0
419125,Mumbai Indians,2,181,5,83.6
501244,Kings XI Punjab,2,120,9,27.0
419162,Mumbai Indians,1,184,5,85.4
598033,Mumbai Indians,1,194,7,81.4
548351,Pune Warriors,2,119,6,41.4
501235,Rajasthan Royals,2,144,4,66.4
501251,Mumbai Indians,2,87,10,2.2
598050,Kolkata Knight Riders,2,105,10,13.0
548330,Chennai Super Kings,1,164,5,73.4
548373,Rajasthan Royals,1,126,8,35.6
